Date,Total Positive Words,Total Negative Words,Total Words,Sentiment Index
Jun-24,254,492,61948,0.003841932
Dec-23,278,547,66473,0.004046756
Jun-23,309,672,64813,0.005600728
Dec-22,261,567,61292,0.004992495
Jun-22,209,532,54712,0.005903641
Dec-21,213,481,51658,0.005187967
Jul-21,233,463,49974,0.004602393
Jan-21,229,487,45442,0.005677567
Jul-20,171,557,51833,0.007446993
Dec-19,119,410,44863,0.006486414
Jun-19,143,414,42512,0.006374671
Dec-18,161,373,42715,0.004963128
Jun-18,128,371,39520,0.006148785
Dec-17,147,318,36129,0.00473304
Jun-17,131,271,37491,0.00373423
Dec-16,120,295,34599,0.00505795
Jun-16,135,373,44095,0.005397437
Dec-15,100,401,40119,0.00750268
Jun-15,140,308,40479,0.0041503
Dec-14,123,265,35562,0.003993026
Jun-14,132,322,35444,0.005360569
Jun-14,132,322,35444,0.005360569
Dec-13,132,430,37359,0.007976659
Jun-13,124,353,38313,0.005977083
Dec-12,162,485,40121,0.008050647
Jun-12,131,451,37513,0.008530376
Dec-11,152,516,46490,0.007829641
Jun-11,216,468,46969,0.005365241
Dec-10,354,578,57211,0.003915331
Mar-10,302,495,52243,0.003694275
